year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,win,spr,sum,aut,ann
1862,116,20.3,114,109.3,103,109.9,117.9,96.5,96,202.1,51.1,145.6,,326.3,324.2,349.1,1281.5
1863,172.3,48.4,68.9,62.8,59.6,140.8,30,139.3,164.4,214.4,150.9,100.9,366.3,191.2,310.1,529.7,1352.5
1864,91,79.5,95.7,46.3,44.5,71.4,52.9,58.1,152.8,85.8,156.7,103.1,271.4,186.6,182.4,395.3,1037.9
1865,150.3,98.5,59.3,37.4,138.4,41.6,116.4,175,9.4,209.2,157.7,90.8,352,235,333,376.3,1283.9
1866,208.3,141.6,114.6,52.8,43.1,115.6,58.9,130.3,256.2,82.6,126.3,130.1,440.7,210.5,304.8,465.1,1460.4
1867,185.1,112.9,118.2,161.3,94.2,27.8,130.4,66.2,90.3,186,37,105.1,428.1,373.7,224.5,313.3,1314.6
1868,176.1,102.6,139,72.1,59.5,18.4,37.7,134.4,105.8,130.8,87.7,309.7,383.8,270.5,190.5,324.3,1373.8
1869,201.3,162.7,64.4,87.5,137.2,25.3,37.4,64.1,245.6,105.6,146.8,167,673.7,289.1,126.7,498.1,1444.9
1870,112.5,108.8,83.8,50.4,67.3,31.6,59.1,78.9,82.3,293,151.9,94.9,388.3,201.4,169.6,527.3,1214.5
1871,121.7,99.1,73.4,129.4,31,76,169.2,79.2,162.6,190.5,56.7,101,315.7,233.8,324.4,409.7,1289.8
1872,231.5,164.3,132.8,94.2,71.8,170.8,150.6,101.9,181.7,232.6,256.1,230.3,496.8,298.8,423.3,670.3,2018.4
1873,213.9,61.4,115.8,40.9,78.2,59.1,114.8,145.8,102,135.5,86.7,51.3,505.5,234.9,319.7,324.3,1205.3
1874,155.1,105.5,94.1,69.8,46.4,37.8,77.3,172.7,152.9,163.1,143.5,156,311.9,210.4,287.8,459.6,1374.3
1875,192.2,71.5,49.2,61.8,79.2,104.5,146.3,118.1,153.1,189,187.8,80.6,419.7,190.2,368.8,529.8,1433.2
1876,75.9,153.9,122,96.6,16.2,60.7,75.9,132.3,168.6,161.9,151.4,235.6,310.5,234.8,268.9,481.9,1451.1
1877,231.6,134.9,102.9,99.9,110.9,84.4,152.7,192.1,109.4,160.8,232.2,123.5,602.1,313.7,429.2,502.5,1735.4
1878,114.9,72.3,64.8,71.2,146.8,110.9,51.2,187,108.7,187.1,133.6,96.8,310.7,282.8,349.1,429.4,1345.3
1879,77.3,147,68.3,65.1,82.4,189.1,148.8,245,137.6,62.6,30.3,88.3,321.1,215.8,582.9,230.5,1341.7
1880,31.8,129.4,74.9,71.7,67.2,106.9,202.3,45.6,105.9,164.2,167.3,197.5,249.5,213.8,354.7,437.4,1364.6
1881,39.2,154,115.6,47.4,99.1,105.7,82.4,166.6,60.9,105.1,182.1,139.4,390.6,262.1,354.7,348.1,1297.5
1882,141.1,116.6,101,142.5,65,142.1,183.3,149.5,100.5,178.3,212.3,179,397.1,308.5,475,491.2,1711.4
1883,181.1,163.2,56.7,35.1,62.3,117,105.3,79.8,179.2,156.2,179.4,94,523.3,154.1,302.2,514.9,1409.4
1884,193.2,158.3,121.6,49.1,68.1,55.8,131.9,68.2,107.5,85.4,92.3,182.9,445.6,238.7,255.9,285.2,1314.2
1885,117.2,174,73.6,82.5,81.4,76.7,47.8,84.8,188.9,184,156.1,59.2,474.2,237.5,209.3,529,1326.2
1886,171.5,51.1,155.2,80.1,163.1,49.6,138.6,67.1,151.8,220,155.8,195.6,281.8,398.5,255.3,527.7,1599.6
1887,116.5,43,70.2,50.1,69.9,25.4,77,89.1,121.4,100,110.2,122.6,355.1,190.3,191.5,331.7,995.6
1888,62.8,33.8,111.6,65.1,50,105.3,200.3,141.1,40.8,89.3,224.7,141.3,219.2,226.7,446.7,354.8,1266.1
1889,59.7,84.6,96.5,120.8,95.4,17.2,98.2,139.5,76.6,147,75.5,101.7,285.6,312.7,255,299.1,1112.8
1890,192.1,29.8,88.5,45.5,74.4,98.3,98.2,130.5,61,100.3,214.6,43.2,323.6,208.4,327.1,376,1176.6
1891,106.1,6.5,64.1,79.6,94.3,94.9,76.7,193.2,129.6,251.8,123.8,221.3,155.8,237.9,364.8,505.2,1441.8
1892,96.4,71.2,39.4,40.6,78.7,77,78.6,137.6,120.3,152,113.2,79.9,388.9,158.7,293.2,385.5,1084.9
1893,75.8,163,25.9,12.9,67.2,61.1,93.8,97.6,89.7,144.7,95.1,173.8,318.7,106,252.5,329.5,1100.7
1894,137.4,134.8,97,64.3,106.5,71.1,115.7,121,48.8,178.5,180.7,123.8,446,267.9,307.7,408,1379.7
1895,137.8,8.8,119.9,83.1,20.1,28.9,137,119,36.5,152.1,185.6,114.9,270.3,223,284.9,374.3,1143.6
1896,62.5,40.6,164.1,39.2,7.3,70,89.7,94.8,220.4,162.3,44.2,206.4,218,210.6,254.5,426.9,1201.5
1897,61.6,125.2,162.9,115.1,47.6,87.6,59.1,165.6,148.5,68.4,133.4,205.7,393.3,325.6,312.3,350.3,1380.8
1898,96.8,96.2,44.6,84.8,129.6,77.5,35.4,152.4,57.7,190.1,113.7,167.6,398.7,258.9,265.3,361.5,1246.4
1899,219.3,129.2,60.4,129.8,91.2,58.4,59.8,54,100.2,119.4,98.1,98,516.1,281.4,172.2,317.7,1217.8
1900,154.5,159.7,35.8,60.9,81.5,96.8,65,169.8,56.8,183.5,141.7,196.6,412.2,178.3,331.6,381.9,1402.6
1901,105.3,49.1,122.3,109.2,32.5,82.7,74.5,123,83.9,116.5,99.8,196.1,351,264.1,280.3,300.2,1195
1902,80.7,49,88.5,65.2,94.3,87.3,65.4,94.3,70.3,127.1,119.6,122.3,325.8,248,247,316.9,1063.9
